City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,Najran,17.49,44.13,87.8,20,99,5.53,SA,2020-07-06 21:26:06
191,Pisco,-13.7,-76.22,64.99,82,20,8.05,PE,2020-07-06 21:26:07
192,Udachnyy,66.42,112.4,42.8,81,90,4.47,RU,2020-07-06 21:26:07
193,Salinas,36.68,-121.66,69.8,52,1,16.11,US,2020-07-06 21:26:07
194,Aranos,-24.13,19.12,56.41,30,0,11.99,NA,2020-07-06 21:26:07
195,Coquimbo,-29.95,-71.34,53.6,87,75,10.29,CL,2020-07-06 21:26:07
196,Biak,-0.91,122.88,76.17,83,71,7.54,ID,2020-07-06 21:26:07
197,Beringovskiy,63.05,179.32,47.89,81,100,3.24,RU,2020-07-06 21:26:08
198,Banda Aceh,5.56,95.32,80.08,75,68,1.95,ID,2020-07-06 21:26:08
199,Monte Alegre,-2.01,-54.07,85.69,62,57,4.61,BR,2020-07-06 21:26:08
200,Esperance,-33.87,121.9,51.8,81,0,13.87,AU,2020-07-06 21:26:08
201,Provideniya,64.38,-173.3,46.4,87,90,4.47,RU,2020-07-06 21:26:08
202,Nyurba,63.28,118.33,48.42,92,0,2.44,RU,2020-07-06 21:26:08
203,Te Anau,-45.42,167.72,42.55,89,89,3.2,NZ,2020-07-06 21:26:08
204,Moron,-34.65,-58.62,51.01,71,6,1.99,AR,2020-07-06 21:23:03
205,Srednekolymsk,67.45,153.68,49.08,94,100,8.1,RU,2020-07-06 21:26:09
206,Hamilton,39.18,-84.53,93.0,52,40,4.7,US,2020-07-06 21:22:13
207,Oktyabrskoye,43.06,44.74,69.8,73,1,4.47,RU,2020-07-06 21:26:09
208,Sorland,67.67,12.69,51.8,76,40,4.7,NO,2020-07-06 21:26:09
209,Ushibuka,32.19,130.02,78.17,91,100,16.75,JP,2020-07-06 21:26:09
210,Njeru,0.42,33.17,69.06,68,96,2.35,UG,2020-07-06 21:26:09
211,Bundaberg,-24.85,152.35,55.0,81,1,6.93,AU,2020-07-06 21:23:54
212,Bambous Virieux,-20.34,57.76,73.4,94,75,6.93,MU,2020-07-06 21:26:10
213,Port Elizabeth,-33.92,25.57,62.6,59,0,18.34,ZA,2020-07-06 21:22:51
214,Kalagarh,29.5,78.75,82.71,65,0,3.29,IN,2020-07-06 21:26:10
215,Sibu,2.3,111.82,77.0,94,40,2.24,MY,2020-07-06 21:26:10
216,Srandakan,-7.94,110.25,76.15,87,96,8.37,ID,2020-07-06 21:26:10
217,Saint-Nazaire,47.28,-2.2,60.8,67,93,9.17,FR,2020-07-06 21:26:10
218,Bengkulu,-3.8,102.27,75.96,86,75,4.92,ID,2020-07-06 21:26:10
219,Shubarshi,48.59,57.19,75.52,54,58,7.63,KZ,2020-07-06 21:26:11
