,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Rain (inches),Snow (inches)
149,Yar-Sale,66.83,70.83,59.9,64,23,8.61,few clouds,RU,0.0,0
150,Isiro,2.77,27.62,72.12,83,51,1.54,light rain,CD,0.45,0
151,Bambous Virieux,-20.34,57.76,71.6,60,20,16.11,few clouds,MU,0.0,0
152,Kismayo,-0.36,42.55,78.55,82,1,14.83,clear sky,SO,0.0,0
153,Cidreira,-30.18,-50.21,55.71,61,0,18.25,clear sky,BR,0.0,0
154,Selikhino,50.37,137.5,54.72,96,100,7.81,overcast clouds,RU,0.0,0
155,Kloulklubed,7.04,134.26,77.0,94,90,3.36,light intensity shower rain,PW,0.0,0
156,Kralendijk,12.15,-68.27,89.6,59,20,23.04,few clouds,BQ,0.0,0
157,Labuhan,-6.88,112.21,76.06,82,85,8.43,overcast clouds,ID,0.0,0
158,Kisangani,0.52,25.2,79.93,68,75,2.24,light rain,CD,0.27,0
159,Odweyne,9.41,45.06,83.21,40,66,15.68,broken clouds,SO,0.0,0
160,Kenora,49.82,-94.43,75.2,53,40,12.75,scattered clouds,CA,0.0,0
161,Pangoa,-12.12,-73.0,71.06,93,97,2.46,moderate rain,PE,1.45,0
162,Nizhniy Kuranakh,58.84,125.49,60.17,91,79,10.04,broken clouds,RU,0.0,0
163,Tiksi,71.69,128.87,33.71,94,100,8.75,overcast clouds,RU,0.0,0
164,Necochea,-38.55,-58.74,48.0,72,28,8.01,scattered clouds,AR,0.0,0
165,Fereydun Kenar,36.69,52.52,84.2,62,3,4.7,clear sky,IR,0.0,0
166,Clyde River,70.47,-68.59,50.0,76,75,11.41,broken clouds,CA,0.0,0
167,Kodiak,57.79,-152.41,57.2,67,90,10.29,overcast clouds,US,0.0,0
168,Urazovo,50.08,38.04,65.61,70,0,8.21,clear sky,RU,0.0,0
169,Liverpool,53.41,-2.98,59.0,77,75,11.41,broken clouds,GB,0.0,0
170,Puerto Escondido,15.85,-97.07,86.0,70,75,3.36,broken clouds,MX,0.0,0
171,Mehran,33.12,46.16,91.4,15,0,4.7,clear sky,IR,0.0,0
172,San Francisco,37.77,-122.42,66.0,72,1,4.7,clear sky,US,0.0,0
173,Taoudenni,22.68,-3.98,110.89,6,20,5.06,few clouds,ML,0.0,0
174,Sitka,57.05,-135.33,55.4,87,90,3.36,light rain,US,0.51,0
175,Pangnirtung,66.15,-65.71,51.8,71,75,14.99,broken clouds,CA,0.0,0
176,Coquimbo,-29.95,-71.34,60.8,55,5,3.36,clear sky,CL,0.0,0
177,Evanston,42.04,-87.69,91.99,55,20,8.05,few clouds,US,0.0,0
178,Marfino,55.7,37.38,72.0,55,76,8.95,broken clouds,RU,0.0,0
179,Carnarvon,-24.87,113.63,57.2,44,100,9.17,overcast clouds,AU,0.0,0
180,Yulara,-25.24,130.99,44.6,36,16,3.22,few clouds,AU,0.0,0
181,Nanortalik,60.14,-45.24,46.33,93,100,14.09,moderate rain,GL,3.09,0
182,Shelburne,44.08,-80.2,91.0,43,1,8.05,clear sky,CA,0.0,0
183,Deniliquin,-35.53,144.97,48.0,85,100,7.2,overcast clouds,AU,0.0,0
184,Belinskiy,52.96,43.42,64.51,94,100,9.37,light rain,RU,0.26,0
185,Nishihara,26.18,127.76,82.4,94,40,10.29,scattered clouds,JP,0.0,0
186,Broken Hill,-31.95,141.43,50.0,57,40,5.82,scattered clouds,AU,0.0,0
187,Leningradskiy,69.38,178.42,46.72,76,44,10.22,scattered clouds,RU,0.0,0
188,Bharatpur,27.22,77.48,92.05,55,94,11.97,overcast clouds,IN,0.0,0
189,Santana,-0.06,-51.18,82.4,100,75,3.36,broken clouds,BR,0.0,0
190,Komsomolskiy,40.43,71.72,84.2,21,40,4.7,scattered clouds,UZ,0.0,0
191,Kamenka,51.32,42.77,70.0,72,81,8.99,moderate rain,RU,1.28,0
192,Hasaki,35.73,140.83,73.4,100,75,9.17,broken clouds,JP,0.0,0
193,Bredasdorp,-34.53,20.04,55.4,87,100,6.93,light rain,ZA,0.3,0
194,Barabai,-2.58,115.38,73.56,93,99,1.81,overcast clouds,ID,0.0,0
195,Upernavik,72.79,-56.15,43.88,66,48,8.95,scattered clouds,GL,0.0,0
196,Margate,51.38,1.39,66.99,79,98,5.99,light rain,GB,0.38,0
197,Kavaratti,10.57,72.64,83.46,79,100,12.26,moderate rain,IN,1.72,0
198,Riviere-Au-Renard,49.0,-64.4,75.2,73,75,11.41,broken clouds,CA,0.0,0
199,San Quintin,30.48,-115.95,71.53,65,57,9.95,broken clouds,MX,0.0,0
200,Kathmandu,27.72,85.32,71.6,100,75,2.24,broken clouds,NP,0.0,0
201,Saint-Pierre,-21.34,55.48,69.8,83,75,20.8,broken clouds,RE,0.0,0
202,Bonthe,7.53,-12.51,78.24,86,97,12.3,moderate rain,SL,1.09,0
203,Palmer,42.16,-72.33,91.0,62,40,3.36,scattered clouds,US,0.0,0
204,Codroipo,45.96,12.98,86.0,44,22,3.0,few clouds,IT,0.0,0
205,Faya,18.39,42.45,78.8,44,20,11.41,few clouds,SA,0.0,0
206,Vardo,70.37,31.11,48.2,87,75,20.8,broken clouds,NO,0.0,0
207,Argentan,48.75,-0.02,82.4,42,0,16.11,clear sky,FR,0.0,0
208,Sorland,67.67,12.69,55.4,76,20,9.17,few clouds,NO,0.0,0
209,Aykhal,66.0,111.5,62.6,48,90,13.42,overcast clouds,RU,0.0,0
210,Naze,28.37,129.48,82.4,94,75,6.93,broken clouds,JP,0.0,0
211,Iquitos,-3.75,-73.25,87.8,66,20,4.7,few clouds,PE,0.0,0
212,Busselton,-33.65,115.33,43.0,85,2,8.19,clear sky,AU,0.0,0
213,Itoman,26.12,127.67,82.4,94,40,10.29,scattered clouds,JP,0.0,0
214,Vostok,46.49,135.88,53.76,100,95,1.81,light rain,RU,0.18,0
215,Saskylakh,71.92,114.08,47.98,70,58,11.03,broken clouds,RU,0.0,0
216,Bandung,-6.9,107.62,68.32,88,100,1.81,overcast clouds,ID,0.0,0
217,Seydi,39.48,62.91,90.32,16,0,10.74,clear sky,TM,0.0,0
218,Muros,42.78,-9.06,86.0,53,20,14.99,few clouds,ES,0.0,0
219,Tecoanapa,16.52,-98.75,87.53,62,100,6.44,overcast clouds,MX,0.0,0
220,Olafsvik,64.89,-23.71,52.3,68,56,11.41,broken clouds,IS,0.0,0
221,Mahajanga,-15.72,46.32,78.8,39,0,6.93,clear sky,MG,0.0,0
222,Santa Isabel Do Rio Negro,-0.41,-65.02,85.62,70,41,3.98,light rain,BR,0.79,0
223,Pyapon,16.28,95.68,79.9,86,100,6.24,overcast clouds,MM,0.0,0
224,Emporia,38.4,-96.18,73.4,78,1,10.29,clear sky,US,0.0,0
225,Bacabal,-4.29,-44.79,89.91,48,16,3.89,few clouds,BR,0.0,0
226,Broome,42.25,-75.83,88.0,61,1,2.48,clear sky,US,0.0,0
227,San Jeronimo,-11.95,-75.28,56.66,44,81,2.15,broken clouds,PE,0.0,0
228,San Cristobal,7.77,-72.22,86.0,42,40,20.8,scattered clouds,VE,0.0,0
229,Vila Franca Do Campo,37.72,-25.43,71.6,60,75,8.05,broken clouds,PT,0.0,0
230,Tank,32.22,70.38,105.87,21,0,10.83,clear sky,PK,0.0,0
231,Sakakah,29.97,40.21,98.6,8,0,18.34,clear sky,SA,0.0,0
232,Wajir,1.75,40.06,86.0,51,20,6.93,few clouds,KE,0.0,0
233,Kyshtovka,56.55,76.63,67.01,95,80,7.58,broken clouds,RU,0.0,0
